No.,Question,Image,Image_1,Options,Answer,Topic,Level,Paper,Difficulty,Objective,Unique identifier
9,Public transport in an economy has an income elasticity of demand of – 0.36. What does this mean about public transport?,9708_w25_qp_12_9.png,,"A It is an inferior good.
B It is a necessity.
C It is a normal good.
D It has close substitutes.",A,Topic 2: The price system and the microeconomy,AS,9708_w25_qp_12,Easy,Recall,9708_w25_qp_12_9
10,Which type of good is most suitable for a successful buffer stock scheme?,9708_w25_qp_12_10.png,,"A
B
C
D",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_w25_qp_12,Easy,Understanding,9708_w25_qp_12_10
11,"The demand for electric vehicle batteries is derived from the demand for electric vehicles. To tackle climate change, a government subsidises producers of electric vehicles.
What are the likely effects of this subsidy on the price and sales of electric vehicle batteries?",9708_w25_qp_12_11.png,,"A
B
C
D",D,Topic 2: The price system and the microeconomy,AS,9708_w25_qp_12,Medium,Analysis,9708_w25_qp_12_11
12,"The diagram shows the market for a demerit good. The initial equilibrium is at point X. What will be the new equilibrium if the government imposes a unit tax on this demerit good and
successfully informs consumers of its harmful effects?",9708_w25_qp_12_12.png,,"A
B
C
D",D,Topic 2: The price system and the microeconomy,AS,9708_w25_qp_12,Medium,Analysis,9708_w25_qp_12_12
13,"To improve the health of people, a government puts a tax on the sale of drinks that contain sugar. What are the likely effects of this tax on both the prices of the drinks that contain sugar and the
price of sugar?",9708_w25_qp_12_13.png,,"A
B
C
D",C,Topic 3: Government microeconomic intervention,AS,9708_w25_qp_12,Medium,Analysis,9708_w25_qp_12_13
14,The income Gini coefficient of a country changes from 0.29 to 0.33 over time. What might explain this change?,9708_w25_qp_12_14.png,,"A an increase in food and energy subsidies
B an increase in structural unemployment
C an increase in the national minimum wage
D an increase in the top rate of income tax",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_w25_qp_12,Difficult,Evaluation,9708_w25_qp_12_14
15,What is an example of an injection into the circular flow of income in an open economy?,9708_w25_qp_12_15.png,,"A consumer spending on goods
B expenditure on a government construction project
C spending by households on holidays abroad
D repayment of loans to commercial banks",B,Topic 5: Government macroeconomic intervention,AS,9708_w25_qp_12,Medium,Application,9708_w25_qp_12_15
16,The diagram shows the AD and AS curves for a country. The equilibrium level of national income is Y1 and the general price level is P1. What is the most likely effect on employment and the general price level of a small decrease in government expenditure?,9708_w25_qp_12_16.png,9708_w25_qp_12_16_1.png,"A
B
C
D",C,Topic 4: The macroeconomy,AS,9708_w25_qp_12,Medium,Application,9708_w25_qp_12_16
17,The diagram shows aggregate demand and aggregate supply curves for an economy. What would cause a change in the aggregate demand from AD to AD1?,9708_w25_qp_12_17.png,,"A government campaigns to encourage household savings
B consumption of domestic instead of foreign goods
C a decrease in the budget surplus
D investment in knowledge-based enterprises",A,Topic 4: The macroeconomy,AS,9708_w25_qp_12,Medium,Analysis,9708_w25_qp_12_17
18,A government reduces the benefits that it pays to unemployed workers to increase the incentive to work. Which types of macroeconomic policies are being used?,9708_w25_qp_12_18.png,,"A
B
C
D",C,Topic 4: The macroeconomy,AS,9708_w25_qp_12,Easy,Recall,9708_w25_qp_12_18
19,"A central bank is asked by the government to help achieve price stability. If inflation rises steeply, which policy will not be directly within the control of the central bank?",9708_w25_qp_12_19.png,,"A increasing the rate of interest to reduce consumer spending
B managing a reduction of the money supply
C using credit restrictions to regulate lending by commercial banks to households
D restricting wage increases in the private and public sectors",D,Topic 4: The macroeconomy,AS,9708_w25_qp_12,Medium,Analysis,9708_w25_qp_12_19
20,What is not a likely reason for a government having the objective of economic growth?,9708_w25_qp_12_20.png,,"A to improve living standards
B to improve business confidence
C to increase inflationary pressures
D to increase consumer choice",C,Topic 4: The macroeconomy,AS,9708_w25_qp_12,Difficult,Evaluation,9708_w25_qp_12_20
21,What is an example of expansionary monetary policy?,9708_w25_qp_12_21.png,,"A the central bank increasing the money supply
B the central bank causing an appreciation of the country’s foreign exchange rate
C the central bank increasing controls on credit lending
D the central bank increasing the minimum lending rate of interest",A,Topic 4: The macroeconomy,AS,9708_w25_qp_12,Difficult,Analysis,9708_w25_qp_12_21
22,What is the effect of an increase in the money supply on the interest rate and the aggregate demand (AD) curve?,9708_w25_qp_12_22.png,,"A
B
C
D",C,Topic 4: The macroeconomy,AS,9708_w25_qp_12,Medium,Understanding,9708_w25_qp_12_22
23,"A country has a target rate of inflation of 2.5% and has recently experienced the actual rate rising to 6%, with unemployment falling to very low levels. Which policy option is most likely to be implemented?",9708_w25_qp_12_23.png,,"A an increase in government expenditure on training
B an increase in indirect taxes on demerit goods
C an increase in import tariffs
D an increase in interest rates",D,Topic 4: The macroeconomy,AS,9708_w25_qp_12,Difficult,Application,9708_w25_qp_12_23
24,What is the most likely reason for a government to introduce a progressive tax?,9708_w25_qp_12_24.png,,"A to discourage the consumption of a particular good
B to distribute disposable income more evenly
C to increase the disposable income of households
D to reduce demand for healthcare services",B,Topic 4: The macroeconomy,AS,9708_w25_qp_12,Easy,Recall,9708_w25_qp_12_24
25,What is the least likely consequence of rapid economic growth?,9708_w25_qp_12_25.png,,"A high levels of pollution
B large deficit on the current account of the balance of payments
C large deficit in the government’s budget balance
D more congestion on the roads",C,Topic 2: The price system and the microeconomy,AS,9708_w25_qp_12,Difficult,Evaluation,9708_w25_qp_12_25
26,A country with a floating exchange rate has a large deficit on the current account of the balance of payments. What is most likely to decrease as a consequence of this deficit?,9708_w25_qp_12_26.png,,"A competitiveness of the country’s products
B level of employment in the country
C prices of exports from the country
D rate of inflation in the country",C,Topic 6: International economic issues,AS,9708_w25_qp_12,Medium,Understanding,9708_w25_qp_12_26
27,What will definitely lead to an improvement in the terms of trade?,9708_w25_qp_12_27.png,,"A Export prices fall whilst import prices rise.
B Export prices rise by the same amount as import prices.
C Export prices rise slower than import prices.
D Export prices rise whilst import prices stay the same.",D,Topic 6: International economic issues,AS,9708_w25_qp_12,Easy,Understanding,9708_w25_qp_12_27
28,"Between June and the end of July 2016, the UK pound sterling depreciated by 11% against a basket of currencies of the UK’s major trading partners. The diagram shows the original aggregate demand curve AD1 and the original aggregate supply curve AS1 for the UK economy before June 2016. The equilibrium is at X. What would have been the new equilibrium for the UK economy as a result of the depreciation of the pound sterling?",9708_w25_qp_12_28.png,,"A
B
C
D",A,Topic 4: The macroeconomy,AS,9708_w25_qp_12,Difficult,Analysis,9708_w25_qp_12_28
29,What is the effect of a cut in a country‘s income tax rates on its exports and imports?,9708_w25_qp_12_29.png,,"A
B
C
D",D,Topic 5: Government macroeconomic intervention,AS,9708_w25_qp_12,Medium,Analysis,9708_w25_qp_12_29
30,The diagram shows the effect of a government removing the tariff on imports of rice into its country. How would the removal of this tariff affect the consumer surplus and the government's revenue?,9708_w25_qp_12_30.png,9708_w25_qp_12_30_1.png,"A
B
C
D",C,Topic 5: Government macroeconomic intervention,AS,9708_w25_qp_12,Difficult,Evaluation,9708_w25_qp_12_30
1,"The following appeared in a newspaper article.
‘The economies of the poorest nations have large international debts; 
the richest nations should cancel the debts of these nations and reduce poverty.’
What is the nature of each statement?",9708_w25_qp_13_1.png,,"A
B
C
D",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_w25_qp_13,Easy,Understanding,9708_w25_qp_13_1
2,What is meant by the division of labour?,9708_w25_qp_13_2.png,,"A A process is split into a series of individual tasks.
B Some workers work part-time and others work full-time.
C The same amount of output per hour is produced by each worker.
D Wages are divided equally between workers.",A,Topic 1: Basic economic ideas and resource allocation,AS,9708_w25_qp_13,Easy,Recall,9708_w25_qp_13_2
3,What would be an opportunity cost of growth in an economy?,9708_w25_qp_13_3.png,,"A the faster growth of services than of manufacturing
B the need for an increased level of imported raw materials
C the need for greater government intervention
D the reduction of consumption if growth requires investment",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_w25_qp_13,Easy,Understanding,9708_w25_qp_13_3
4,Which change in the way resources are allocated in an economy is consistent with moving from a planned economy to a market economy?,9708_w25_qp_13_4.png,,"A A minimum price guarantee for apple producers is removed.
B A new government authority is established to monitor inefficiencies in apple production.
C The production of apples is subsidised to increase output.
D The sale of apples has a maximum price imposed.",A,Topic 1: Basic economic ideas and resource allocation,AS,9708_w25_qp_13,Medium,Analysis,9708_w25_qp_13_4
5,"The diagram shows a production possibility curve (PPC) for an economy that produces two goods, X and Y. Both goods require labour to produce. The initial position of the PPC is at PPC0. What is the effect on the PPC following the emigration of a large number of workers?",9708_w25_qp_13_5.png,,"A the PPC remains at PPC0
B the PPC shifts from PPC0 to PPC1
C the PPC shifts from PPC0 to PPC 2
D the PPC shifts from PPC0 to PPC 3",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_w25_qp_13,Medium,Understanding,9708_w25_qp_13_5
6,A good is provided by the government. Consumption by one person does not affect the amount of the good available for others. Which type of good must this be?,9708_w25_qp_13_6.png,,"A complementary good
B merit good
C private good
D public good",D,Topic 2: The price system and the microeconomy,AS,9708_w25_qp_13,Easy,Recall,9708_w25_qp_13_6
7,Market demand curves normally slope downwards. They may also shift from D1 to either D2 or D3. What would cause a movement along D1 for good X and not a shift to either D2 or D3?,9708_w25_qp_13_7.png,,"A advertising of good X increases sales
B consumer incomes rise
C the price of good X falls
D the prices of other goods fall",C,Topic 2: The price system and the microeconomy,AS,9708_w25_qp_13,Medium,Analysis,9708_w25_qp_13_7
8,"The diagram shows the demand curve and supply curve for broken rice that is considered to be an inferior good. The market is in equilibrium at point X with a price of P1 and quantity of Q1.
Which point is the new equilibrium if household incomes rise?",9708_w25_qp_13_8.png,,"A
B
C
D",D,Topic 2: The price system and the microeconomy,AS,9708_w25_qp_13,Difficult,Analysis,9708_w25_qp_13_8
9,"Good X has an income elasticity of demand (YED) value of −0.8. Its cross elasticity of demand (XED) with respect to good Y is also −0.8.
What are the characteristics of good X?",9708_w25_qp_13_9.png,,"A a normal good that is a complement to good Y
B a normal good that is a substitute for good Y
C an inferior good that is a complement to good Y
D an inferior good that is a substitute for good Y",C,Topic 2: The price system and the microeconomy,AS,9708_w25_qp_13,Easy,Recall,9708_w25_qp_13_9
10,"Four firms produce furniture. The table shows the price elasticity of supply (PES) for each firm. If the price of furniture rises by 5% which firm would experience an increase in quantity supplied
of 2.5%?",9708_w25_qp_13_10.png,,"A
B
C
D",D,Topic 2: The price system and the microeconomy,AS,9708_w25_qp_13,Medium,Application,9708_w25_qp_13_10
11,The diagram shows supply and demand for a good. The original equilibrium is X. What will be the new equilibrium if subsidies are given to firms for new machinery?,9708_w25_qp_13_11.png,,"A
B
C
D",D,Topic 2: The price system and the microeconomy,AS,9708_w25_qp_13,Medium,Understanding,9708_w25_qp_13_11
12,The market for good X is in equilibrium when its price is $10. The government decides to set a maximum price for good X. Which maximum price will cause the largest change in consumer surplus?,9708_w25_qp_13_12.png,,"A
B
C
D",A,Topic 3: Government microeconomic intervention,AS,9708_w25_qp_13,Medium,Analysis,9708_w25_qp_13_12
13,"Assuming demand is price elastic, what will rise the most if an indirect tax is removed?",9708_w25_qp_13_13.png,,"A consumer expenditures
B price of the product
C producers’ revenues
D tax receipts",C,Topic 3: Government microeconomic intervention,AS,9708_w25_qp_13,Easy,Recall,9708_w25_qp_13_13
14,Which area of government spending is a transfer payment?,9708_w25_qp_13_14.png,,"A spending on new road building
B spending on pensions to the elderly
C spending on buying new police cars
D spending on wages of teachers",B,Topic 3: Government microeconomic intervention,AS,9708_w25_qp_13,Difficult,Evaluation,9708_w25_qp_13_14
15,A government provides a subsidy for a product with a perfectly price inelastic demand. What prevents producers from benefiting from this subsidy?,9708_w25_qp_13_15.png,,"A The subsidy causes a large reduction in the price of the product, as its price elasticity of demand is infinite.
B The subsidy causes a large reduction in the price of the product, as its price elasticity of demand is zero.
C The subsidy causes a small reduction in the price of the product, as its price elasticity of demand is relatively elastic.
D The subsidy causes a small reduction in the price of the product, as its price elasticity of demand is relatively inelastic.",B,Topic 4: The macroeconomy,AS,9708_w25_qp_13,Easy,Recall,9708_w25_qp_13_15
16,A government intervenes in the market for good X. It fixes a minimum price above the market equilibrium. Which situation explains why the government would do this?,9708_w25_qp_13_16.png,,"A
B
C
D",A,Topic 4: The macroeconomy,AS,9708_w25_qp_13,Medium,Analysis,9708_w25_qp_13_16
17,The table below shows some national income statistics. What is GDP at market prices?,9708_w25_qp_13_17.png,,"A $276bn 
B $284bn 
C $316bn 
D $324bn",B,Topic 4: The macroeconomy,AS,9708_w25_qp_13,Easy,Recall,9708_w25_qp_13_17
18,Under which conditions will real Gross Domestic Product (GDP) grow the fastest?,9708_w25_qp_13_18.png,,"A
B
C
D",C,Topic 4: The macroeconomy,AS,9708_w25_qp_13,Medium,Analysis,9708_w25_qp_13_18
19,"A government is planning to increase its expenditure on defence. Half of this expenditure will be on equipment such as planes and weapons which it will have to import as it does not produce this equipment domestically.
What is the initial impact on injections and leakages from the circular flow of income?",9708_w25_qp_13_19.png,,"A The initial rise in injections is greater than the initial rise in leakages.
B The initial rise in injections is greater than the initial fall in leakages.
C The initial rise in injections is smaller than the initial rise in leakages.
D The initial rise in injections is smaller than the initial fall in leakages.",A,Topic 4: The macroeconomy,AS,9708_w25_qp_13,Difficult,Evaluation,9708_w25_qp_13_19
20,What might be a consequence of a fall in the domestic price level?,9708_w25_qp_13_20.png,,"A imports become more competitive
B interest rates increase
C the purchasing power of savings falls
D the real value of incomes increases",D,Topic 4: The macroeconomy,AS,9708_w25_qp_13,Difficult,Analysis,9708_w25_qp_13_20
21,"A steel producer changes to electrically powered furnaces to reduce emissions of greenhouse gases. This results in a loss of jobs.
Which type of unemployment is caused?",9708_w25_qp_13_21.png,,"A cyclical
B frictional
C seasonal
D technological",D,Topic 4: The macroeconomy,AS,9708_w25_qp_13,Medium,Understanding,9708_w25_qp_13_21
22,The diagram shows changes in a country’s price level over a number of years. During which period of time did only disinflation occur?,9708_w25_qp_13_22.png,,"A from the start of 2020 to the end of 2025
B from the start of 2021 to the end of 2022
C from the start of 2021 to the end of 2023
D from the start of 2023 to the end of 2024",B,Topic 5: Government macroeconomic intervention,AS,9708_w25_qp_13,Difficult,Application,9708_w25_qp_13_22
23,A government increases the basic rate of income tax to finance additional spending on apprenticeships and training. Which types of macroeconomic policy are being used?,9708_w25_qp_13_23.png,,"A
B
C
D",C,Topic 5: Government macroeconomic intervention,AS,9708_w25_qp_13,Easy,Recall,9708_w25_qp_13_23
24,"The diagram shows an economy in equilibrium with a real output of Y and a price level of P. The government aims to raise real output from Y to full employment (YFE) without increasing the price
level in the long run. Which fiscal policy change is most likely to achieve this aim?",9708_w25_qp_13_24.png,,"A decreasing the rate of income tax
B decreasing spending on education
C increasing the level of sales tax
D increasing welfare benefit payments",A,Topic 5: Government macroeconomic intervention,AS,9708_w25_qp_13,Medium,Analysis,9708_w25_qp_13_24
25,A government reduced the tax on company profits from 28% to 20%. Which statement best describes this policy?,9708_w25_qp_13_25.png,,"A It is both a contractionary fiscal policy and a supply-side policy.
B It is both an expansionary fiscal policy and a supply-side policy.
C It is both an expansionary fiscal policy and an expansionary monetary policy.
D It is both an expansionary monetary policy and a supply-side policy.",B,Topic 6: International economic issues,AS,9708_w25_qp_13,Difficult,Evaluation,9708_w25_qp_13_25
26,Which policy is most likely to have a contractionary effect on national income?,9708_w25_qp_13_26.png,,"A a reduction in income tax rates
B a reduction in interest rates
C an appreciation in the exchange rate
D an increase in government spending on transport infrastructure",C,Topic 6: International economic issues,AS,9708_w25_qp_13,Medium,Analysis,9708_w25_qp_13_26
27,What is an example of primary income in the current account of the balance of payments of Pakistan?,9708_w25_qp_13_27.png,,"A dividends received by a Pakistani resident from shares in a domestic firm
B profits of Pakistani businesses exporting goods
C rent received by a Pakistani resident from a property in another country
D salary received by a Pakistani engineer from a foreign-owned producer operating in Pakistan",C,Topic 6: International economic issues,AS,9708_w25_qp_13,Medium,Understanding,9708_w25_qp_13_27
28,What is meant by comparative advantage?,9708_w25_qp_13_28.png,,"A One country can produce a product at a lower opportunity cost than another country.
B One country can producemore of a product than another country, using a given level of resources.
C One country has lower barriers to trade than another country.
D One country is making more efficient use of factors of production than another country.",A,Topic 6: International economic issues,AS,9708_w25_qp_13,Easy,Recall,9708_w25_qp_13_28
29,An economy specialises in the production of one product. It exports this product to obtain another product. Which type of diagram can show the combinations of these products?,9708_w25_qp_13_29.png,,"A the production possibility curve
B the aggregate demand curve
C the principle of absolute advantage
D the trading possibility curve",D,Topic 6: International economic issues,AS,9708_w25_qp_13,Medium,Understanding,9708_w25_qp_13_29
30,"The main export of country X is oil. The world demand for oil is price inelastic. The world supply of oil is reduced by the major oil producing countries, including country X. Imports into country X are
unchanged. What are the effects of this action by the major oil producing countries on the terms of trade and the current account of the balance of payments in country X?",9708_w25_qp_13_30.png,,"A
B
C
D",A,Topic 6: International economic issues,AS,9708_w25_qp_13,Difficult,Analysis,9708_w25_qp_13_30
1,What is characterised as a free good?,9708_w25_qp_14_1.png,,"A one that has zero opportunity cost
B one that is non-excludable and non-rivalrous
C one that is supplied by the government with no charge
D one that receives a 100% government subsidy",A,,AS,9708_w25_qp_14,,,9708_w25_qp_14_1
2,Which combination correctly identifies the rewards to each factor of production?,9708_w25_qp_14_2.png,,"A
B
C
D",B,,AS,9708_w25_qp_14,,,9708_w25_qp_14_2
3,A government wants to move its economy away from central planning towards a market economy. Which policy would be consistent with this aim?,9708_w25_qp_14_3.png,,"A introduce tariffs on imported goods
B privatise the ownership of electricity generation
C provide free education for primary school pupils
D reduce prices of foods such as wheat and rice",B,,AS,9708_w25_qp_14,,,9708_w25_qp_14_3
4,"A country is currently producing at output Z on production possibility curve XY. Its annual economic growth rate is forecast to decline over the next ten years to 5% per year.
If the forecast is correct, which point represents its most likely economic output in 10 years?",9708_w25_qp_14_4.png,,"A
B
C
D",D,,AS,9708_w25_qp_14,,,9708_w25_qp_14_4
5,Which statement about factors of production is correct?,9708_w25_qp_14_5.png,,"A In the short run all factors are fixed; in the long run all factors are varied.
B In the short run at least one factor is fixed; in the long run all factors can be varied.
C In the short run at least one factor is varied; in the long run all factors are fixed.
D In the short run at least one factor is varied; in the long run at least one factor is fixed.",B,,AS,9708_w25_qp_14,,,9708_w25_qp_14_5
6,Which factor affects the price elasticity of supply of a product?,9708_w25_qp_14_6.png,,"A availability of stocks
B percentage of income spent on the product
C price of substitutes
D wage rate",A,,AS,9708_w25_qp_14,,,9708_w25_qp_14_6
7,"A firm sells 10 000 units of a product which has an estimated income elasticity of demand of –0.4. If incomes have fallen by 10%, what is the new quantity demanded?",9708_w25_qp_14_7.png,,"A 9000 
B 9600 
C 10 000 
D 10 400",D,,AS,9708_w25_qp_14,,,9708_w25_qp_14_7
8,The diagram shows the market for fresh fruit in an economy. Fruit has a positive income elasticity of demand and is mainly imported. The original equilibrium is at X. What is the most likely cause of the equilibrium point moving from X to Y?,9708_w25_qp_14_8.png,,"A a fall in real income and a depreciation of the exchange rate
B a fall in real income and an appreciation of the exchange rate
C a rise in real income and a depreciation of the exchange rate
D a rise in real income and an appreciation of the exchange rate",C,,AS,9708_w25_qp_14,,,9708_w25_qp_14_8
9,What is a major function of the price mechanism?,9708_w25_qp_14_9.png,,"A providing incentives for government intervention to reduce income inequality
B removing shortages by creating incentives for market prices to fall
C removing surpluses by creating incentives for market prices to rise
D signalling changes in market conditions to producers and consumers",D,,AS,9708_w25_qp_14,,,9708_w25_qp_14_9
10,"In the diagram, D and S represent the initial demand and supply conditions for a good. Which row correctly represents the change in consumer surplus and producer surplus if supply shifts to S1?",9708_w25_qp_14_10.png,9708_w25_qp_14_10_1.png,"A
B
C
D",D,,AS,9708_w25_qp_14,,,9708_w25_qp_14_10
11,What is a characteristic of a public good?,9708_w25_qp_14_11.png,,"A Households cannot accurately value the benefits of a good.
B Households cannot be excluded from consuming the good.
C The amount of the good available diminishes as households consume it.
D Households are rivals in the consumption of the good.",B,,AS,9708_w25_qp_14,,,9708_w25_qp_14_11
12,A government imposes a specific indirect tax on a product that has an inelastic demand curve. What is the incidence of tax in this case?,9708_w25_qp_14_12.png,,"A The tax falls entirely on the consumer.
B The tax falls entirely on the producer.
C The tax falls to a greater extent on the consumer than on the producer.
D The tax falls to a smaller extent on the consumer than on the producer.",C,,AS,9708_w25_qp_14,,,9708_w25_qp_14_12
13,What is an example of direct public provision of goods and services?,9708_w25_qp_14_13.png,,"A a charity hospital funded by public donations that offers free treatment to the rural poor
B a mobile government library that travels to rural villages offering access to books
C a private-sector pharmacy that provides treatment directly to the public
D a private school that offers free places to children of low income families",B,,AS,9708_w25_qp_14,,,9708_w25_qp_14_13
14,When is a minimum wage most likely to help reduce the problem of income inequality?,9708_w25_qp_14_14.png,,"A Higher paid workers maintain pay differentials.
B Labour mobility is low.
C The informal economy is small.
D The minimum wage leads to increased unemployment.",C,,AS,9708_w25_qp_14,,,9708_w25_qp_14_14
15,What is not true about subsidies?,9708_w25_qp_14_15.png,,"A They are paid to firms.
B They have to be paid back.
C They reduce the cost of production.
D They shift the supply curve to the right.",B,,AS,9708_w25_qp_14,,,9708_w25_qp_14_15
16,The diagram shows three groups of people with four possible flows between them. Which flow indicates that people have become discouraged from seeking work?,9708_w25_qp_14_16.png,,"A
B
C
D",A,,AS,9708_w25_qp_14,,,9708_w25_qp_14_16
17,What is required to prevent a rising price level due to an increase in aggregate demand?,9708_w25_qp_14_17.png,,"A Additional productive capacity must be created.
B Government investment must remain at a constant level to stabilise supply.
C Greater reliance must be placed on imported goods to overcome any domestic shortfalls.
D Wage rates must change more frequently to maintain levels of employment and output.",A,,AS,9708_w25_qp_14,,,9708_w25_qp_14_17
18,"An open economy with a government is in equilibrium at a national income of $900 million.
Households spend $700 million and save $50 million.
Firms spend $100 million on investment.
The government spends $150 million and has a balanced budget.
How much is spent on exports and imports?",9708_w25_qp_14_18.png,,"A
B
C
D",C,,AS,9708_w25_qp_14,,,9708_w25_qp_14_18
19,Which increase makes cost-push inflation less likely to happen?,9708_w25_qp_14_19.png,,"A indirect tax rates
B raw material shortages
C the foreign exchange rate
D trade union power",C,,AS,9708_w25_qp_14,,,9708_w25_qp_14_19
20,"When calculating national income by the income method, what would not be included?",9708_w25_qp_14_20.png,,"A income from abroad
B profits of private sector businesses
C rent from the ownership of land
D transfer payments",D,,AS,9708_w25_qp_14,,,9708_w25_qp_14_20
21,What is an example of expansionary fiscal policy?,9708_w25_qp_14_21.png,,"A an increase in income tax
B an increase in private sector investment
C an increase in spending on public goods
D an increase in the money supply",C,,AS,9708_w25_qp_14,,,9708_w25_qp_14_21
22,An economy has both increasing imported raw material prices and demand-pull inflation. Which combination of policies is most likely to help its government achieve its macroeconomic objective of price stability?,9708_w25_qp_14_22.png,,"A
B
C
D",B,,AS,9708_w25_qp_14,,,9708_w25_qp_14_22
23,What is an example of a supply-side policy?,9708_w25_qp_14_23.png,,"A an import quota to restrict the supply of goods
B a rise in interest rates to encourage the supply of savings
C a specific tax on the supply of goods to raise revenue
D a subsidy to businesses to promote the supply of training courses",D,,AS,9708_w25_qp_14,,,9708_w25_qp_14_23
24,"A worker earns $10 000 and pays $1000 in income tax.
Another worker earns $30 000 and pays $4500 in income tax.
A third worker earns $150 000 and pays $50 000 in income tax.
Which type of tax is this?",9708_w25_qp_14_24.png,,"A indirect
B progressive
C proportional
D regressive",B,,AS,9708_w25_qp_14,,,9708_w25_qp_14_24
25,An increase in interest rates is an example of which type of policy?,9708_w25_qp_14_25.png,,"A contractionary fiscal policy
B contractionary monetary policy
C expansionary monetary policy
D restrictive supply-side policy",B,,AS,9708_w25_qp_14,,,9708_w25_qp_14_25
26,For which government measure would both the outcomes shown be likely to benefit its economy?,9708_w25_qp_14_26.png,,"A
B
C
D",C,,AS,9708_w25_qp_14,,,9708_w25_qp_14_26
27,The table shows the terms of trade for an economy expressed as an index number for the period 2019 to 2021. What can be concluded from the table?,9708_w25_qp_14_27.png,,"A The quantity of imports rose relative to the quantity of exports.
B The price of exports rose relative to the price of imports.
C The price of imports rose relative to the price of exports.
D The value of exports rose relative to the value of imports.",B,,AS,9708_w25_qp_14,,,9708_w25_qp_14_27
28,Which explanation for a country choosing to engage in international trade is not valid?,9708_w25_qp_14_28.png,,"A Engaging in international trade enables the country to achieve a higher average standard of living. 
B Other countries are more efficient at producing some goods. 
C There are some products that the country cannot produce. 
D The country has acomparative advantage in the production of all of its goods compared to other countries.",D,,AS,9708_w25_qp_14,,,9708_w25_qp_14_28
29,In which economic context is the term ‘protectionism’ usually applied?,9708_w25_qp_14_29.png,,"A the protection of consumers against excessive prices
B the protection of employees against exploitation by multinational companies
C the protection of local producers against international competitors
D the protection of the foreign exchange rate against currency speculators",C,,AS,9708_w25_qp_14,,,9708_w25_qp_14_29
30,Both the US and the EU operate in floating exchange rate markets. The rate of exchange fluctuated greatly during the period shown. What would explain the changes in the US dollar–euro rate of exchange?,9708_w25_qp_14_30.png,,"A changes in the supply and demand for dollars and euros in the foreign exchange market
B continuous appreciation of the US dollar throughout the period
C continuous depreciation of the US dollar throughout the period
D restraints placed by trade agreements on the rate of exchange",A,,AS,9708_w25_qp_14,,,9708_w25_qp_14_30
1,What does the marginal utility diagram show?,9708_s23_qp_33_Q1a.png,,"A Total utility becomes negative if the quantity consumed increases from Y to Z.A Total utility becomes negative if the quantity consumed increases from Y to Z.
B Total utility decreases if the quantity consumed increases from X to Y.
C Total utility decreases if the quantity consumed increases from Y to Z.
D Total utility is maximised at X.",C,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_33,Medium,,9708_s23_qp_33_1
2,The initial allocation of goods between three consumers is shown. Which row shows a Pareto improvement in the allocation of goods between consumers? ,9708_s23_qp_33_Q2a.png,9708_s23_qp_33_Q2b.png,"A
B
C
D",A,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_33,Medium,,9708_s23_qp_33_2
3,Which assumption in relation to an indifference theory diagram is not correct? ,,,"A The consumer’s income may change. 
B The consumer may change their satisfaction-maximising objective. 
C The consumers may change their tastes and preferences. 
D The relative prices of products may change. ",B,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_3
4,Which type of efficiency is shown by the shift from long-run average cost curve 1 (LRAC1) to long-run average cost curve 2 (LRAC2)? ,,,"A allocative 
B dynamic 
C Pareto 
D productive",B,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_4
5,A firm wishes to maximise its revenue. Which condition must be met to achieve this goal? ,,,"A average cost = average revenue 
B marginal cost = average revenue 
C marginal cost = marginal revenue 
D marginal revenue = zero ",D,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_5
6,"The costs and revenue of four firms operating in a monopolistically competitive market are 
shown.
Which firms will continue to operate in the short run but will shut down in the long run? ",,,"A X and W 
B X and Y 
C W and Z 
D Y and Z ",B,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_6
7,"A firm at its current level of production finds that its short-run marginal cost is less than its 
short-run average variable cost. 
Which conclusion about the firm can be drawn from this information? ",,,"A Average variable cost is constant. 
B Average variable cost is falling. 
C Average variable cost is greater than its average total cost. 
D Average variable cost is rising. ",B,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_7
8,"Steel producer X takes over its main competitor, steel producer Y. 
What would X expect to happen to the price elasticity of demand for its product and its long-run 
average cost as a result of this takeover?",,,"A
B
C
D",A,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_8
9,What is an example of an external cost?,,,"A distribution costs 
B energy costs 
C labour costs 
D road congestion costs ",D,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_9
